Question,Generated Answer,Topic,BLEU Score,ROUGE Score,IndoBERT Similarity,Inference Time
Di mana letak geografis Candi Borobudur?,"Candi Borobudur terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Lebih spesifiknya, candi ini terletak sekitar 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut Yogyakarta.",Budaya,"{'bleu': 0.26939575688009704, 'precisions': [0.29545454545454547, 0.27906976744186046, 0.2619047619047619, 0.24390243902439024], 'brevity_penalty': 1.0, 'length_ratio': 3.3846153846153846, 'translation_length': 44, 'reference_length': 13}","{'rouge1': np.float64(0.4), 'rouge2': np.float64(0.3720930232558139), 'rougeL': np.float64(0.4), 'rougeLsum': np.float64(0.4)}",0.8726063966751099,0.32398486137390137
Berapa jarak antara Candi Borobudur dan Semarang?,Candi Borobudur terletak kurang lebih 100 km di sebelah barat daya Semarang.,Budaya,"{'bleu': 1.0, 'precisions': [1.0, 1.0, 1.0, 1.0], 'brevity_penalty': 1.0, 'length_ratio': 1.0, 'translation_length': 13, 'reference_length': 13}","{'rouge1': np.float64(1.0), 'rouge2': np.float64(1.0), 'rougeL': np.float64(1.0), 'rougeLsum': np.float64(1.0)}",1.0,0.23280715942382812
Siapa yang mendirikan Candi Borobudur?,"Pertanyaanmu tentang siapa yang mendirikan Candi Borobudur. Menurut informasi yang ada, Candi Borobudur didirikan oleh para penganut agama Buddha Mahayana sekitar tahun 800-an Masehi pada masa pemerintahan wangsa Syailendra.",Budaya,"{'bleu': 0.23440058276054604, 'precisions': [0.29411764705882354, 0.24242424242424243, 0.21875, 0.1935483870967742], 'brevity_penalty': 1.0, 'length_ratio': 3.4, 'translation_length': 34, 'reference_length': 10}","{'rouge1': np.float64(0.4615384615384615), 'rouge2': np.float64(0.4324324324324324), 'rougeL': np.float64(0.4615384615384615), 'rougeLsum': np.float64(0.4615384615384615)}",0.8378339409828186,0.28221774101257324
Pada masa pemerintahan mana Candi Borobudur didirikan?,"Pada masa pemerintahan wangsa Syailendra, sekitar tahun 800-an Masehi.",Budaya,"{'bleu': 0.5747539348314025, 'precisions': [0.8461538461538461, 0.75, 0.6363636363636364, 0.5], 'brevity_penalty': 0.8574039191604413, 'length_ratio': 0.8666666666666667, 'translation_length': 13, 'reference_length': 15}","{'rouge1': np.float64(0.8695652173913044), 'rouge2': np.float64(0.8571428571428571), 'rougeL': np.float64(0.8695652173913044), 'rougeLsum': np.float64(0.8695652173913044)}",0.758820116519928,0.24976897239685059
Apa status Candi Borobudur di dunia?,Candi Borobudur adalah salah satu monumen Buddha terbesar di dunia.,Budaya,"{'bleu': 0.3585262698892034, 'precisions': [0.9090909090909091, 0.8, 0.6666666666666666, 0.625], 'brevity_penalty': 0.48322508118982543, 'length_ratio': 0.5789473684210527, 'translation_length': 11, 'reference_length': 19}","{'rouge1': np.float64(0.7407407407407407), 'rouge2': np.float64(0.56), 'rougeL': np.float64(0.6666666666666667), 'rougeLsum': np.float64(0.6666666666666667)}",0.9773715734481812,0.22188448905944824
Apa fungsi utama Monumen Borobudur?,Fungsi utama Monumen Borobudur adalah sebagai tempat suci untuk memuliakan Buddha dan berfungsi sebagai tempat ziarah untuk menuntun umat manusia beralih dari alam nafsu duniawi menuju pencerahan dan kebijaksanaan sesuai ajaran Buddha.,Budaya,"{'bleu': 0.6585866470777355, 'precisions': [0.7878787878787878, 0.6875, 0.6129032258064516, 0.5666666666666667], 'brevity_penalty': 1.0, 'length_ratio': 1.2222222222222223, 'translation_length': 33, 'reference_length': 27}","{'rouge1': np.float64(0.8620689655172413), 'rouge2': np.float64(0.7857142857142856), 'rougeL': np.float64(0.8620689655172413), 'rougeLsum': np.float64(0.8620689655172413)}",0.9625617265701294,0.33264851570129395
Bagaimana para peziarah memulai ritual di Borobudur?,"Para peziarah memulai ritual di Borobudur dengan cara berjalan melingkari bangunan suci ini searah jarum jam, mulai dari dasar candi.",Budaya,"{'bleu': 0.43941109616202023, 'precisions': [0.7727272727272727, 0.5238095238095238, 0.35, 0.2631578947368421], 'brevity_penalty': 1.0, 'length_ratio': 1.0, 'translation_length': 22, 'reference_length': 22}","{'rouge1': np.float64(0.7804878048780488), 'rouge2': np.float64(0.5641025641025641), 'rougeL': np.float64(0.6829268292682926), 'rougeLsum': np.float64(0.6829268292682926)}",0.8675938844680786,0.2558865547180176
Apa tiga tingkatan ranah dalam kosmologi Buddha yang dilalui para peziarah di Borobudur?,Tiga tingkatan ranah dalam kosmologi Buddha yang dilalui para peziarah di Borobudur adalah:1. Kāmadhātu (ranah hawa nafsu)2. Rupadhatu (ranah berwujud)3. Arupadhatu (ranah tak berwujud),Budaya,"{'bleu': 0.3530997249910615, 'precisions': [0.5405405405405406, 0.3888888888888889, 0.3142857142857143, 0.23529411764705882], 'brevity_penalty': 1.0, 'length_ratio': 1.48, 'translation_length': 37, 'reference_length': 25}","{'rouge1': np.float64(0.6382978723404256), 'rouge2': np.float64(0.4444444444444445), 'rougeL': np.float64(0.6382978723404256), 'rougeLsum': np.float64(0.6382978723404256)}",0.7863337993621826,0.615506649017334
Berapa banyak panel relief yang dapat disaksikan para peziarah di Borobudur?,"Saya dapat menjawab pertanyaan Anda. Menurut teks yang diberikan, para peziarah dapat menyaksikan tak kurang dari 1.460 panel relief indah yang terukir pada dinding dan pagar langkan di Borobudur.",Budaya,"{'bleu': 0.514511651852919, 'precisions': [0.5625, 0.5161290322580645, 0.5, 0.4827586206896552], 'brevity_penalty': 1.0, 'length_ratio': 1.6842105263157894, 'translation_length': 32, 'reference_length': 19}","{'rouge1': np.float64(0.7755102040816326), 'rouge2': np.float64(0.7659574468085107), 'rougeL': np.float64(0.7755102040816326), 'rougeLsum': np.float64(0.7755102040816326)}",0.7431960105895996,0.3242201805114746
Apa yang dilalui para peziarah dalam perjalanan mereka di Borobudur?,"Dalam perjalanan mereka, para peziarah melalui tiga tingkatan ranah dalam kosmologi Buddha, yaitu:1. Kāmadhātu (ranah hawa nafsu)2. Rupadhatu (ranah berwujud)3. Arupadhatu (ranah tak berwujud)Mereka berjalan melingkari bangunan suci Borobudur searah jarum jam, sambil naik ke undakan berikutnya melalui serangkaian lorong dan tangga, dan menyaksikan panel relief indah yang terukir pada dinding dan pagar langkan.",Budaya,"{'bleu': 0.06705104400125081, 'precisions': [0.1506849315068493, 0.08333333333333333, 0.056338028169014086, 0.02857142857142857], 'brevity_penalty': 1.0, 'length_ratio': 6.083333333333333, 'translation_length': 73, 'reference_length': 12}","{'rouge1': np.float64(0.2571428571428572), 'rouge2': np.float64(0.14705882352941177), 'rougeL': np.float64(0.2571428571428572), 'rougeLsum': np.float64(0.2571428571428572)}",0.5648213624954224,0.42120885848999023
Mengapa Candi Borobudur ditetapkan sebagai Situs Warisan Dunia UNESCO?,"Candi Borobudur ditetapkan sebagai Situs Warisan Dunia UNESCO karena signifikansinya sebagai monumen budaya dan sejarah yang mewakili peradaban Jawa kuno pada abad VIII-IX M. Selain itu, keindahan arsitektur candi, dengan ukiran relief yang rumit dan struktur platform bertumpuk, menampilkan puncak keahlian Jawa kuno, sehingga membuatnya menjadi simbol warisan budaya Jawa yang kaya dan menarik wisatawan dari seluruh dunia.",Budaya,"{'bleu': 0.3596124768915672, 'precisions': [0.375, 0.36507936507936506, 0.3548387096774194, 0.3442622950819672], 'brevity_penalty': 1.0, 'length_ratio': 2.6666666666666665, 'translation_length': 64, 'reference_length': 24}","{'rouge1': np.float64(0.5952380952380952), 'rouge2': np.float64(0.5853658536585366), 'rougeL': np.float64(0.5952380952380952), 'rougeLsum': np.float64(0.5952380952380952)}",0.9359840154647827,0.399564266204834
Apa yang membuat Candi Borobudur menjadi simbol warisan budaya Jawa?,"Candi Borobudur menjadi simbol warisan budaya Jawa karena keindahan arsitektur candi, ukiran relief yang rumit, dan struktur platform bertumpuk yang menampilkan puncak keahlian Jawa kuno. Selain itu, candi ini juga memiliki nilai budaya yang tinggi dan telah berkontribusi pada pemahaman arsitektur Jawa kuno.",Budaya,"{'bleu': 0.42312568221123853, 'precisions': [0.5625, 0.46808510638297873, 0.391304347826087, 0.3111111111111111], 'brevity_penalty': 1.0, 'length_ratio': 1.7142857142857142, 'translation_length': 48, 'reference_length': 28}","{'rouge1': np.float64(0.7058823529411763), 'rouge2': np.float64(0.6363636363636364), 'rougeL': np.float64(0.7058823529411763), 'rougeLsum': np.float64(0.7058823529411763)}",0.9758506417274475,0.5196270942687988
Bagaimana Candi Borobudur berkontribusi pada ekonomi lokal?,"Candi Borobudur berkontribusi pada ekonomi lokal dengan menarik wisatawan dari seluruh dunia. Wisatawan yang berkunjung ke Candi Borobudur membantu meningkatkan pendapatan lokal melalui berbagai cara, seperti:- Pengeluaran akomodasi: Wisatawan yang berkunjung ke Candi Borobudur membutuhkan tempat tinggal, makanan, dan lain-lain, sehingga meningkatkan pendapatan bagi pengusaha akomodasi dan restoran lokal.- Pengeluaran transportasi: Wisatawan yang berkunjung ke Candi Borobudur membutuhkan transportasi untuk mencapai lokasi, sehingga meningkatkan pendapatan bagi pengusaha transportasi lokal.- Pengeluaran belanja: Wisatawan yang berkunjung ke Candi Borobudur membeli barang-barang lokal, seperti kerajinan tangan, makanan khas, dan lain-lain, sehingga meningkatkan pendapatan bagi pengusaha lokal.Dengan demikian, Candi Borobudur berkontribusi pada ekonomi lokal dengan meningkatkan pendapatan dan menc",Budaya,"{'bleu': 0.09911845992107686, 'precisions': [0.14960629921259844, 0.1111111111111111, 0.08, 0.07258064516129033], 'brevity_penalty': 1.0, 'length_ratio': 5.7727272727272725, 'translation_length': 127, 'reference_length': 22}","{'rouge1': np.float64(0.2635658914728682), 'rouge2': np.float64(0.1889763779527559), 'rougeL': np.float64(0.2635658914728682), 'rougeLsum': np.float64(0.2635658914728682)}",0.895000696182251,0.5617465972900391
Apa yang dilakukan untuk melestarikan Candi Borobudur?,Upaya pelestarian dan konservasi Candi Borobudur telah dilakukan untuk menjaga warisan budaya kawasan Borobudur sebagai Situs Warisan Budaya Dunia.,Budaya,"{'bleu': 0.8578928092681435, 'precisions': [0.95, 0.8947368421052632, 0.8333333333333334, 0.7647058823529411], 'brevity_penalty': 1.0, 'length_ratio': 1.0526315789473684, 'translation_length': 20, 'reference_length': 19}","{'rouge1': np.float64(0.972972972972973), 'rouge2': np.float64(0.9142857142857143), 'rougeL': np.float64(0.972972972972973), 'rougeLsum': np.float64(0.972972972972973)}",0.9925386905670166,0.26381421089172363
Mengapa Candi Borobudur dianggap sebagai situs warisan budaya yang penting?,"Candi Borobudur dianggap sebagai situs warisan budaya yang penting karena beberapa alasan. Pertama, sebagai monumen budaya dan sejarah yang mewakili peradaban Jawa kuno pada abad VIII-IX M, Candi Borobudur memiliki signifikansi yang sangat besar dalam sejarah dan budaya Jawa. Kedua, keindahan arsitektur candi dengan ukiran relief yang rumit dan struktur platform bertumpuk menampilkan puncak keahlian Jawa kuno. Selain itu, relief naratif candi memberikan wawasan berharga tentang tipologi konstruksi kayu selama periode Jawa Kuno, sehingga berkontribusi pada pemahaman arsitektur Jawa kuno.Candi Borobudur juga berfungsi sebagai simbol warisan budaya Jawa yang kaya dan menarik wisatawan dari seluruh dunia, berkontribusi pada ekonomi lokal dan mempromosikan pertukaran budaya. Oleh karena itu, upaya pelestarian dan konservasi Candi Borobudur sangat penting untuk menjaga warisan budaya kawasan",Budaya,"{'bleu': 0.10270310245527663, 'precisions': [0.18045112781954886, 0.10606060606060606, 0.08396946564885496, 0.06923076923076923], 'brevity_penalty': 1.0, 'length_ratio': 4.75, 'translation_length': 133, 'reference_length': 28}","{'rouge1': np.float64(0.2857142857142857), 'rouge2': np.float64(0.19310344827586207), 'rougeL': np.float64(0.272108843537415), 'rougeLsum': np.float64(0.272108843537415)}",0.8908791542053223,0.5447463989257812
Apa yang dirayakan di Candi Borobudur pada hari Waisak?,"Pada hari Waisak, Candi Borobudur menyelenggarakan upacara dan festival sebagai bagian dari tradisi dan praktik Buddhis. Pada hari ini, kuil itu adalah situs penting untuk perayaan Waisak, juga dikenal sebagai Ulang Tahun Buddha, yang dirayakan dengan prosesi, doa, dan persembahan.",Budaya,"{'bleu': 0.31462566301648515, 'precisions': [0.4166666666666667, 0.3404255319148936, 0.2826086956521739, 0.24444444444444444], 'brevity_penalty': 1.0, 'length_ratio': 2.2857142857142856, 'translation_length': 48, 'reference_length': 21}","{'rouge1': np.float64(0.5357142857142857), 'rouge2': np.float64(0.4444444444444444), 'rougeL': np.float64(0.46428571428571436), 'rougeLsum': np.float64(0.46428571428571436)}",0.889216959476471,0.348341703414917
Apa upacara Buddhis penting lainnya yang dilakukan di Candi Borobudur?,"Upacara Buddhis penting lainnya yang dilakukan di Candi Borobudur adalah Purnama (bulan purnama). Selain itu, upacara Waisak (perayaan pencerahan Buddha) juga dilakukan di Candi Borobudur.",Budaya,"{'bleu': 0.6004688503186574, 'precisions': [0.6875, 0.6451612903225806, 0.5666666666666667, 0.5172413793103449], 'brevity_penalty': 1.0, 'length_ratio': 1.391304347826087, 'translation_length': 32, 'reference_length': 23}","{'rouge1': np.float64(0.7906976744186047), 'rouge2': np.float64(0.7317073170731708), 'rougeL': np.float64(0.7906976744186047), 'rougeLsum': np.float64(0.7906976744186047)}",0.9854612946510315,0.3465127944946289
Apa yang dilakukan selama upacara di Candi Borobudur?,"Selama upacara di Candi Borobudur, beberapa kegiatan yang dilakukan antara lain:1. Prosesi: Upacara ini dimulai dengan prosesi yang melibatkan para penyembah dan peziarah.2. Doa: Para penyembah melakukan doa dan meditasi untuk mencari berkat rohani.3. Persembahan: Lilin dan dupa disalakan sebagai persembahan kepada Buddha.4. Nyanyian kitab suci Buddha: Para penyembah mengucapkan kitab suci Buddha dalam bentuk nyanyian.5. Berpartisipasi dalam acara keagamaan: Para penyembah dapat berpartisipasi dalam acara keagamaan lainnya, seperti purnama dan waisak.Dengan demikian, Candi Borobudur menjadi tempat yang sakral dan spiritual bagi para penyembah Buddha.",Budaya,"{'bleu': 0.07089003273810174, 'precisions': [0.1981981981981982, 0.1, 0.045871559633027525, 0.027777777777777776], 'brevity_penalty': 1.0, 'length_ratio': 4.625, 'translation_length': 111, 'reference_length': 24}","{'rouge1': np.float64(0.34234234234234234), 'rouge2': np.float64(0.22018348623853212), 'rougeL': np.float64(0.2522522522522523), 'rougeLsum': np.float64(0.2522522522522523)}",0.8810456395149231,0.5023775100708008
Bagaimana ruang terbuka dan teras di Candi Borobudur digunakan?,"Ruang terbuka dan teras di Candi Borobudur digunakan sebagai tempat berkumpul dan berpartisipasi bagi para penyembah dalam acara-acara keagamaan, seperti upacara Buddhis penting seperti Waisak, Purnama, dan lain-lain.",Budaya,"{'bleu': 0.2949085102256453, 'precisions': [0.53125, 0.3870967741935484, 0.26666666666666666, 0.13793103448275862], 'brevity_penalty': 1.0, 'length_ratio': 1.4545454545454546, 'translation_length': 32, 'reference_length': 22}","{'rouge1': np.float64(0.6538461538461539), 'rouge2': np.float64(0.52), 'rougeL': np.float64(0.5384615384615385), 'rougeLsum': np.float64(0.5384615384615385)}",0.9220337271690369,0.3010711669921875
Siapa yang mengunjungi Candi Borobudur selama upacara dan festival?,Para peziarah dari berbagai belahan dunia akan mengunjungi Candi Borobudur selama upacara dan festival ini untuk memberi penghormatan dan mencari berkat rohani.,Budaya,"{'bleu': 0.8787419089273848, 'precisions': [0.9565217391304348, 0.9090909090909091, 0.8571428571428571, 0.8], 'brevity_penalty': 1.0, 'length_ratio': 1.0454545454545454, 'translation_length': 23, 'reference_length': 22}","{'rouge1': np.float64(0.9767441860465117), 'rouge2': np.float64(0.9268292682926829), 'rougeL': np.float64(0.9767441860465117), 'rougeLsum': np.float64(0.9767441860465117)}",0.9942481517791748,0.28294801712036133
Apa yang dilakukan selama upacara di Candi Borobudur untuk menciptakan suasana sakral?,"Selama upacara di Candi Borobudur, nyanyian kitab suci Buddha dan doa berlangsung untuk menciptakan suasana sakral. Selain itu, persembahan bunga, dupa, dan lilin juga dibuat selama upacara, melambangkan pengabdian dan rasa hormat kepada Buddha dan ajarannya.",Budaya,"{'bleu': 0.20196554056504004, 'precisions': [0.37209302325581395, 0.2619047619047619, 0.17073170731707318, 0.1], 'brevity_penalty': 1.0, 'length_ratio': 2.0476190476190474, 'translation_length': 43, 'reference_length': 21}","{'rouge1': np.float64(0.5714285714285714), 'rouge2': np.float64(0.4444444444444445), 'rougeL': np.float64(0.39285714285714285), 'rougeLsum': np.float64(0.39285714285714285)}",0.8631503582000732,0.32773923873901367
Apa bentuk prosesi yang diselenggarakan selama festival Buddha di Candi Borobudur?,"Berdasarkan potongan konteks yang diberikan, prosesi yang diselenggarakan selama festival Buddha di Candi Borobudur adalah:1. Nyanyian kitab suci Buddha dan doa2. Persembahan bunga, dupa, dan lilin3. Meditasi yang dipraktikkan oleh peserta4. Penyalaan lilin dan dupa sebagai ritual umumSemua prosesi ini dilakukan sebagai bentuk penghormatan dan pengabdian kepada Buddha dan ajarannya.",Budaya,"{'bleu': 0.0, 'precisions': [0.2, 0.03389830508474576, 0.0, 0.0], 'brevity_penalty': 1.0, 'length_ratio': 2.2222222222222223, 'translation_length': 60, 'reference_length': 27}","{'rouge1': np.float64(0.3157894736842105), 'rouge2': np.float64(0.08108108108108109), 'rougeL': np.float64(0.2368421052631579), 'rougeLsum': np.float64(0.2368421052631579)}",0.7599267959594727,0.41934752464294434
"Apa yang dilambangkan oleh persembahan bunga, dupa, dan lilin selama upacara di Candi Borobudur?","Persembahan bunga, dupa, dan lilin selama upacara di Candi Borobudur melambangkan pengabdian dan rasa hormat kepada Buddha dan ajarannya.",Budaya,"{'bleu': 0.6750915335148621, 'precisions': [0.7727272727272727, 0.7142857142857143, 0.65, 0.5789473684210527], 'brevity_penalty': 1.0, 'length_ratio': 1.2941176470588236, 'translation_length': 22, 'reference_length': 17}","{'rouge1': np.float64(0.8484848484848484), 'rouge2': np.float64(0.7741935483870968), 'rougeL': np.float64(0.8484848484848484), 'rougeLsum': np.float64(0.8484848484848484)}",0.906477689743042,0.28200364112854004
Apa yang dipraktikkan oleh peserta selama upacara di Candi Borobudur untuk memfokuskan pikiran mereka?,Meditasi dipraktikkan oleh peserta selama upacara di Candi Borobudur untuk memfokuskan pikiran mereka dan menumbuhkan kedamaian batin dan perhatian.,Budaya,"{'bleu': 1.0, 'precisions': [1.0, 1.0, 1.0, 1.0], 'brevity_penalty': 1.0, 'length_ratio': 1.0, 'translation_length': 20, 'reference_length': 20}","{'rouge1': np.float64(1.0), 'rouge2': np.float64(1.0), 'rougeL': np.float64(1.0), 'rougeLsum': np.float64(1.0)}",0.9999999403953552,0.29415059089660645
Apa yang mewakili penerangan kebijaksanaan dan pemurnian pikiran selama upacara di Candi Borobudur?,"Penyalaan lilin dan dupa adalah ritual umum selama upacara di Candi Borobudur, mewakili penerangan kebijaksanaan dan pemurnian pikiran.",Budaya,"{'bleu': 1.0, 'precisions': [1.0, 1.0, 1.0, 1.0], 'brevity_penalty': 1.0, 'length_ratio': 1.0, 'translation_length': 20, 'reference_length': 20}","{'rouge1': np.float64(1.0), 'rouge2': np.float64(1.0), 'rougeL': np.float64(1.0), 'rougeLsum': np.float64(1.0)}",1.0,0.27092409133911133
Apa yang terkandung dalam pahatan relief Candi Borobudur,"Pahatan relief Candi Borobudur mengandung cerita-cerita yang memuat kisah Karmavibhangga, Lalitavistara, Avadana, Jataka, dan Gandavyuha. Cerita-cerita tersebut menggambarkan kehidupan manusia dan hukum karma dari perbuatan manusia yang dilakukan pada masa hidupnya.",Budaya,"{'bleu': 0.38820652309792664, 'precisions': [0.5405405405405406, 0.4166666666666667, 0.34285714285714286, 0.29411764705882354], 'brevity_penalty': 1.0, 'length_ratio': 1.608695652173913, 'translation_length': 37, 'reference_length': 23}","{'rouge1': np.float64(0.6153846153846154), 'rouge2': np.float64(0.44000000000000006), 'rougeL': np.float64(0.5384615384615385), 'rougeLsum': np.float64(0.5384615384615385)}",0.9373239278793335,0.32112765312194824
